freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction(%)
FL250117,Teresa Kim,Female,57,Egypt,Arabic,UI/UX Design,4,40,3.4,1,68
FL250118,Jon Morgan,Male,27,Australia,English,Machine Learning,7,20,3.2,1,62
FL250119,Gloria Chaney,Female,33,Indonesia,Indonesian,Machine Learning,13,20,3.2,0,64
FL250120,Jesse Campbell,Male,29,South Korea,Korean,Data Analysis,4,30,0.0,1,82
FL250121,Allison Tucker MD,Female,36,Indonesia,Indonesian,UI/UX Design,13,75,2.5,1,64
FL250122,Candice Petersen,Female,47,Italy,Italian,DevOps,5,40,3.7,0,93
FL250123,Christopher Nichols,Male,48,Canada,English,Machine Learning,15,50,1.0,1,64
FL250124,Debra Garcia,Female,27,China,Mandarin,UI/UX Design,8,50,0.0,1,64
FL250125,Andrew Fuentes,Male,34,Australia,English,Web Development,10,40,1.7,0,96
FL250126,Jason Carter,Male,49,South Korea,Korean,Data Analysis,19,40,5.0,1,83
FL250127,Austin Romero,Male,30,Brazil,Portuguese,Mobile Apps,10,100,1.7,1,64
FL250128,Clayton Burns,Male,31,Egypt,Arabic,Graphic Design,8,40,4.4,0,70
FL250129,Jonathan Clark,Male,58,China,Mandarin,Machine Learning,9,20,0.0,0,65
FL250130,Alexander Griffin,Male,47,France,French,Machine Learning,13,40,3.4,1,67
FL250131,Shelly Whitehead,Female,45,United Kingdom,English,Cybersecurity,14,100,1.1,0,93
FL250132,Kaitlyn Davis,Female,57,France,French,Machine Learning,0,50,1.6,0,60
FL250133,Christopher Jones,Male,50,India,Hindi,Web Development,22,100,4.1,0,62
FL250134,Cindy Jacobs,Female,40,Brazil,Portuguese,Machine Learning,4,40,2.5,1,70
FL250135,Penny Day,Female,45,Indonesia,Indonesian,Blockchain Development,22,100,4.0,1,75
FL250137,Donna Hansen,Female,43,United Kingdom,English,Cybersecurity,5,50,2.5,1,84
FL250138,Donna Bailey,Female,39,France,French,Cybersecurity,5,40,1.2,0,83
FL250139,Joshua Armstrong,Male,26,Mexico,Spanish,UI/UX Design,5,50,0.0,0,64
FL250140,Jonathan Garza,Male,31,Germany,German,Cybersecurity,11,50,3.1,0,88
FL250141,Charles Jones,Male,52,France,French,UI/UX Design,15,50,0.0,1,81
FL250142,Lindsey Miles,Female,34,India,Hindi,Data Analysis,5,20,2.2,1,80
FL250143,Eduardo Reed,Male,45,United Kingdom,English,Web Development,7,75,3.0,1,67
FL250144,Lee Fowler,Male,46,United Kingdom,English,Cybersecurity,9,20,0.0,0,82
FL250145,Steven Jones Jr.,Male,56,France,French,UI/UX Design,21,100,0.0,1,78
FL250146,Ashley Chen,Female,59,Germany,German,AI,7,40,1.4,0,81
FL250147,Erica Davis,Female,54,Egypt,Arabic,Blockchain Development,4,40,1.4,1,74
FL250148,Wayne Gonzales,Male,36,Germany,German,UI/UX Design,7,30,0.0,0,88
FL250149,Gary Ballard,Male,25,Mexico,Spanish,Data Analysis,0,40,0.0,0,90
FL250150,Maria Mcguire,Female,37,Russia,Russian,Data Analysis,15,40,2.9,0,64
FL250151,Matthew Richards,Male,40,Turkey,Turkish,Data Analysis,10,40,0.0,1,64
FL250152,Patrick Malone,Male,29,Spain,Spanish,Data Analysis,11,20,2.7,0,93
FL250153,Cindy Martin,Female,55,Argentina,Spanish,Mobile Apps,12,100,1.8,1,64
FL250154,Anne Edwards,Female,38,Japan,Japanese,DevOps,20,75,1.1,0,71
FL250155,Mitchell Martin,Male,47,South Korea,Korean,DevOps,29,40,4.3,1,95
FL250156,Mitchell Patrick,Male,60,Brazil,Portuguese,Web Development,15,100,1.5,0,80
FL250157,Rebecca Lyons,Female,43,Italy,Italian,Data Analysis,9,20,2.2,0,64
FL250158,Christian Lopez,Male,56,South Africa,Afrikaans,Data Analysis,9,100,3.2,0,62
FL250159,Nathan Blair,Male,42,Russia,Russian,DevOps,2,50,1.9,0,95
FL250160,Patricia Lopez,Female,20,Spain,Spanish,Graphic Design,0,40,2.5,0,79
FL250161,Michelle Wu,Female,47,Indonesia,Indonesian,UI/UX Design,12,40,4.5,0,62
FL250162,Donald Mitchell,Male,40,Argentina,Spanish,Data Analysis,12,30,4.1,0,68
FL250163,Sean Gordon,Male,56,Indonesia,Indonesian,DevOps,15,75,0.0,0,64
FL250164,Gregory Clarke,Male,59,United Kingdom,English,DevOps,29,75,2.5,0,80
FL250165,Steven Whitney,Male,56,Japan,Japanese,Cybersecurity,15,40,3.7,1,92
FL250166,Robin Acosta,Female,31,South Africa,Afrikaans,Web Development,9,75,1.3,1,65
FL250167,John Smith,Male,60,South Korea,Korean,Mobile Apps,33,40,3.6,1,87
FL250168,Susan Baker,Female,31,Canada,English,Web Development,10,75,0.0,0,70
FL250169,Anthony Larsen,Male,60,Argentina,Spanish,Cybersecurity,20,40,1.4,0,87
FL250170,Nicholas Carpenter,Male,46,France,French,DevOps,23,20,2.9,0,72
FL250171,Debra Salazar,Female,40,Netherlands,Dutch,Blockchain Development,9,40,2.8,0,80
FL250172,William Smith,Male,34,Japan,Japanese,UI/UX Design,0,20,1.7,0,66
FL250173,Caroline Gross,Female,42,Netherlands,Dutch,Graphic Design,7,40,0.0,1,64
FL250174,Jeremy Sawyer,Male,31,United Kingdom,English,Data Analysis,4,75,1.1,1,64
FL250175,Eduardo Burns,Male,29,Brazil,Portuguese,UI/UX Design,9,20,2.5,1,68
FL250176,Amanda Jones,Female,57,Australia,English,Graphic Design,17,20,3.6,0,63
FL250177,Frederick Ware,Male,47,India,Hindi,DevOps,8,20,4.5,1,72
FL250178,Michael Black,Male,47,South Africa,Afrikaans,AI,14,30,0.0,1,86
FL250179,Patricia Sanders,Female,45,France,French,Graphic Design,21,30,1.5,1,73
FL250180,Marc Joseph,Male,24,Turkey,Turkish,Machine Learning,1,30,3.7,0,95
FL250181,Vanessa White,Female,31,Argentina,Spanish,Mobile Apps,12,20,2.3,0,90
FL250182,Jennifer Garcia,Female,20,Mexico,Spanish,Graphic Design,2,20,2.8,0,78
FL250183,Michael Zavala,Male,38,Japan,Japanese,Web Development,3,30,3.5,0,97
FL250184,Kimberly Williams,Female,33,Germany,German,UI/UX Design,11,40,0.0,1,65
FL250185,Elizabeth Jenkins,Female,31,Australia,English,Web Development,4,40,3.2,1,78
FL250186,Brandon Ford,Male,41,Spain,Spanish,Machine Learning,21,50,3.3,1,65
FL250187,Justin House,Male,54,Turkey,Turkish,Web Development,0,20,4.9,1,64
FL250188,Henry Mullen,Male,50,Mexico,Spanish,Data Analysis,6,30,2.2,1,95
FL250189,Jesse Cochran,Male,48,Brazil,Portuguese,Machine Learning,18,40,2.5,1,88
FL250190,Melissa Rich,Female,49,Mexico,Spanish,Graphic Design,9,40,1.8,0,64
FL250191,Patrick Dunlap,Male,21,South Korea,Korean,Graphic Design,1,75,4.6,0,92
FL250192,Troy Carson,Male,58,Australia,English,Graphic Design,20,75,2.8,0,75
FL250193,Matthew Smith,Male,41,Italy,Italian,DevOps,9,30,1.4,0,74
FL250194,Jennifer Cherry,Female,58,Russia,Russian,Blockchain Development,25,30,4.2,1,71
FL250195,Brandi Tucker,Female,50,South Africa,Afrikaans,Graphic Design,20,40,3.6,1,89
FL250196,Zachary Burke,Male,52,Indonesia,Indonesian,Web Development,33,100,1.6,1,66
FL250197,Thomas Jones,Male,34,Netherlands,Dutch,Data Analysis,6,100,2.0,0,64
FL250198,Brian Dunn,Male,32,France,French,Machine Learning,11,40,4.3,1,86
FL250199,Shirley Strickland,Female,50,India,Hindi,Graphic Design,28,100,4.9,1,86
FL250200,Nicole Meyers,Female,39,Argentina,Spanish,Data Analysis,11,100,3.5,1,82
FL250201,Jill Stephens,Female,25,Spain,Spanish,AI,2,100,2.5,0,87
FL250202,Heidi Miranda,Female,55,China,Mandarin,Machine Learning,7,100,1.7,1,80
FL250203,Jesus Martinez,Male,42,Italy,Italian,DevOps,10,100,4.6,1,71
FL250204,Adam Payne,Male,43,Russia,Russian,Mobile Apps,6,50,2.5,0,77
FL250205,Walter Williams,Male,54,Italy,Italian,DevOps,29,30,1.7,0,68
FL250206,Shannon Farmer,Female,21,Egypt,Arabic,Graphic Design,0,20,1.8,0,91
FL250207,Peter Reyes,Male,46,Canada,English,UI/UX Design,5,20,2.2,0,75
FL250208,Kristen Knight,Female,30,Spain,Spanish,Blockchain Development,11,40,1.0,0,90
FL250209,William Moore Jr.,Male,36,China,Mandarin,Machine Learning,11,75,3.2,0,93
FL250210,Jennifer Rowe,Female,47,Germany,German,Data Analysis,15,40,2.1,1,94
FL250211,Mikayla Henry,Female,43,Canada,English,Mobile Apps,1,50,4.6,1,64
FL250212,Jacob Kerr,Male,57,South Korea,Korean,Cybersecurity,8,20,0.0,1,84
FL250213,Ryan Johnson,Male,52,Italy,Italian,Machine Learning,30,20,2.8,0,87
FL250214,Michael Ruiz,Male,40,Germany,German,Blockchain Development,8,40,0.0,0,64
FL250215,Monica Roberts,Female,22,Indonesia,Indonesian,Machine Learning,0,100,2.7,1,64
FL250216,Danny Brown,Male,40,India,Hindi,Machine Learning,12,20,0.0,1,80
FL250217,Karen Larsen,Female,58,Spain,Spanish,Mobile Apps,4,50,3.1,0,90
FL250218,Robert Evans,Male,39,South Korea,Korean,Web Development,14,100,0.0,1,92
FL250219,Sean Poole,Male,32,Indonesia,Indonesian,Graphic Design,14,40,2.5,0,96
FL250220,Richard Quinn,Male,37,Canada,English,UI/UX Design,2,30,2.3,1,64
FL250221,Jennifer Gonzalez,Female,21,China,Mandarin,Cybersecurity,2,100,2.4,1,64
FL250222,James Skinner,Male,41,South Korea,Korean,Machine Learning,4,75,2.6,1,85
FL250223,Michelle Hill,Female,21,Canada,English,AI,0,40,1.1,0,79
FL250224,Jacqueline Williams,Female,58,China,Mandarin,Machine Learning,9,30,0.0,1,65
FL250225,Darrell Johnson,Male,60,Canada,English,Machine Learning,3,40,4.7,0,63
FL250226,Ryan Crawford,Male,27,South Africa,Afrikaans,Web Development,2,40,1.2,0,64
FL250227,Chelsea Barber,Female,29,Germany,German,Machine Learning,10,40,1.2,0,78
FL250228,Elaine Martinez,Female,54,Canada,English,Graphic Design,33,75,0.0,1,62
FL250229,Joseph Kent,Male,52,Mexico,Spanish,Machine Learning,12,40,1.2,0,76
FL250230,Megan Welch,Female,55,Indonesia,Indonesian,Blockchain Development,18,100,2.9,0,97
FL250231,Stephen Ramirez,Male,37,Brazil,Portuguese,Blockchain Development,4,40,2.5,0,64
FL250232,Chloe Gray,Female,34,Egypt,Arabic,Data Analysis,11,50,3.9,1,82
FL250233,Michael Williams Jr.,Male,20,France,French,Data Analysis,1,50,3.1,1,71
FL250234,Matthew Martin,Male,22,Mexico,Spanish,UI/UX Design,2,40,0.0,1,64
FL250235,Julia Murphy,Female,23,South Korea,Korean,Graphic Design,2,50,3.2,1,64
FL250236,Anna Evans,Female,53,South Korea,Korean,Blockchain Development,34,30,2.5,1,64
FL250237,Brenda Fleming,Female,56,South Korea,Korean,Graphic Design,27,100,4.7,1,69
FL250238,Daniel Harrington,Male,27,Canada,English,AI,4,75,5.0,0,88
FL250239,Daniel Barnett,Male,34,Italy,Italian,Mobile Apps,11,40,2.5,0,67
FL250240,Mark Cummings,Male,29,United States,English,Web Development,4,50,4.0,0,64
FL250241,Christopher Guerra,Male,34,India,Hindi,AI,11,40,1.2,1,64
FL250242,Sarah Ho,Female,32,Mexico,Spanish,AI,1,100,4.7,0,67
FL250243,Veronica Thomas,Female,21,South Africa,Afrikaans,Machine Learning,2,20,2.4,1,86
FL250244,Mitchell Watson,Male,20,Mexico,Spanish,Graphic Design,2,40,1.1,0,69
FL250245,Monica Murphy,Female,35,United States,English,Mobile Apps,10,50,1.4,1,85
FL250246,Kristen Williams,Female,47,United States,English,UI/UX Design,18,40,3.4,0,60
FL250247,Nicole Wright,Female,41,Turkey,Turkish,Blockchain Development,4,40,2.7,1,70
FL250248,Andrew Ruiz,Male,58,Argentina,Spanish,Web Development,23,40,4.9,0,64
FL250249,Zachary Jackson,Male,34,China,Mandarin,Data Analysis,6,75,1.9,1,81
FL250250,Stephanie Carter,Female,50,India,Hindi,Mobile Apps,5,100,2.5,1,64
FL250251,Amy Olson,Female,42,Mexico,Spanish,DevOps,19,75,4.6,0,78
FL250252,Fred Stark,Male,43,Germany,German,UI/UX Design,6,50,0.0,0,81
FL250253,Jacob Gill,Male,34,Germany,German,Data Analysis,8,75,1.8,1,71
FL250254,Anthony Nichols,Male,24,Spain,Spanish,Mobile Apps,3,75,2.0,0,64
FL250255,William Knapp,Male,48,South Africa,Afrikaans,UI/UX Design,8,30,5.0,1,99
FL250256,Elizabeth Walker,Female,39,South Korea,Korean,Data Analysis,12,20,3.2,1,66
FL250257,Brenda Reeves,Female,57,Australia,English,Blockchain Development,30,30,2.4,1,80
FL250258,Carrie Little,Female,44,Canada,English,Web Development,21,100,2.9,0,83
FL250259,Steven Jackson,Male,37,Brazil,Portuguese,UI/UX Design,17,20,0.0,1,87
FL250260,Mark Perry,Male,50,Turkey,Turkish,Data Analysis,9,30,3.0,0,76
FL250261,Cameron Spencer,Male,50,Spain,Spanish,UI/UX Design,2,50,1.6,0,89
FL250262,Jennifer Holmes,Female,28,France,French,Graphic Design,1,20,3.6,1,94
FL250263,Jacob Joseph,Male,48,Italy,Italian,Web Development,23,40,2.1,0,68
FL250264,Jeffery Tucker,Male,42,Germany,German,DevOps,8,30,3.6,1,96
FL250265,Jacqueline Drake,Female,37,Canada,English,Data Analysis,6,20,2.7,1,91
FL250266,Brian Bautista,Male,21,India,Hindi,Blockchain Development,1,100,2.1,1,92
FL250267,Dakota Wells,Male,50,South Korea,Korean,Web Development,19,40,4.9,1,82
FL250268,Julie White,Female,22,Argentina,Spanish,AI,2,30,2.1,1,64
FL250269,Barbara Keith,Female,39,Japan,Japanese,Web Development,21,100,0.0,0,91
FL250270,Heather Camacho,Female,25,Japan,Japanese,Machine Learning,3,50,2.8,1,86
FL250271,Melanie Harris,Female,47,South Africa,Afrikaans,Mobile Apps,14,40,2.5,0,69
FL250272,Jacqueline Peterson,Female,35,South Africa,Afrikaans,UI/UX Design,10,100,4.7,1,84
FL250273,Nancy Long,Female,40,United Kingdom,English,Cybersecurity,5,100,1.3,0,60
FL250274,Mr. Juan Mitchell,Male,35,Netherlands,Dutch,Blockchain Development,6,75,1.6,1,97
FL250275,William Gaines,Male,59,France,French,Web Development,21,100,0.0,1,70
FL250276,Haley Yates,Female,26,China,Mandarin,UI/UX Design,4,100,3.6,0,81
FL250277,Richard Mcguire,Male,44,Russia,Russian,Machine Learning,18,20,4.7,1,88
FL250278,Stephanie Fisher,Female,31,South Africa,Afrikaans,UI/UX Design,12,40,2.5,1,100
FL250279,Anthony Goodwin DDS,Male,60,Turkey,Turkish,Data Analysis,6,40,3.2,0,95
FL250280,Meagan Walters,Female,23,United Kingdom,English,Blockchain Development,4,20,2.5,0,71
FL250281,David Powell,Male,42,Indonesia,Indonesian,UI/UX Design,13,20,4.7,0,85
FL250282,Kelly Jones,Female,48,India,Hindi,Mobile Apps,6,30,2.5,0,96
FL250283,Dr. Michael Aguilar,Male,42,Netherlands,Dutch,Graphic Design,10,20,2.4,1,92
FL250284,Alex Novak,Male,52,South Korea,Korean,Cybersecurity,20,50,2.5,0,79
FL250285,Ann Contreras,Female,55,Japan,Japanese,Web Development,20,75,2.9,0,64
FL250286,Mary Reed,Female,58,South Africa,Afrikaans,Cybersecurity,11,50,0.0,0,64
FL250287,Lauren Ross,Female,46,South Korea,Korean,Machine Learning,12,20,0.0,0,89
FL250288,Candice Wise,Female,45,Spain,Spanish,Machine Learning,1,100,1.5,1,100
FL250289,Joyce Humphrey,Female,56,India,Hindi,Machine Learning,2,30,1.9,1,81
FL250290,James Carr,Male,44,United Kingdom,English,Blockchain Development,13,100,3.1,1,95
FL250291,Joseph Mendoza,Male,46,Indonesia,Indonesian,UI/UX Design,0,40,1.8,0,88
FL250292,Cathy Baldwin,Female,27,Japan,Japanese,Web Development,7,30,2.4,1,66
FL250293,Christine Hart,Female,49,India,Hindi,Blockchain Development,13,100,4.2,1,84
FL250294,Mike Stanley,Male,53,Mexico,Spanish,Web Development,21,50,1.4,0,64
FL250295,Jeffrey Edwards,Male,56,Australia,English,Web Development,19,40,1.2,1,82
FL250296,Amy Lee,Female,56,United Kingdom,English,DevOps,34,40,2.1,1,84
FL250297,Mark Thompson,Male,38,South Africa,Afrikaans,Data Analysis,3,100,1.4,0,73
FL250298,Alex Wilson,Male,20,South Korea,Korean,Mobile Apps,0,30,3.8,1,93
FL250299,Nancy Mendez,Female,38,Canada,English,Machine Learning,20,50,0.0,1,64
FL250300,Beth Crane,Female,40,Netherlands,Dutch,Mobile Apps,6,40,3.5,0,76
FL250301,Miguel Rogers,Male,46,India,Hindi,Machine Learning,13,100,0.0,1,97
FL250302,Thomas Robles,Male,36,South Africa,Afrikaans,Data Analysis,9,75,2.2,0,95
FL250303,Joel Brown III,Male,33,Russia,Russian,Web Development,2,75,2.5,0,65
FL250304,Olivia Schultz,Female,37,Canada,English,Graphic Design,0,50,4.7,0,77
FL250305,Clayton Pena,Male,20,Egypt,Arabic,Data Analysis,0,20,3.9,0,64
